JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 C-C1 s5 C-C2 s6 C-C3 s7 C1-C2 s8 C1-C3 s9 C2-C3 s10 HELCOR AIRMASS 
Aperture: 3, Filter: R, JD: geocentric
2456967.20485 1.2639 0.0050 -1.6109 0.0163 0.2567 0.0059 -1.1189 0.0112 -2.8748 0.0158 -1.0072 0.0043 -2.3828 0.0105 1.8676 0.0162 0.4920 0.0188 -1.3756 0.0110 0.00227 1.081 
2456967.20634 1.2678 0.0051 -1.5773 0.0154 0.2450 0.0060 -1.1190 0.0114 -2.8451 0.0148 -1.0228 0.0043 -2.3868 0.0106 1.8223 0.0152 0.4583 0.0180 -1.3640 0.0111 0.00227 1.080 
2456967.20784 1.2557 0.0049 -1.5983 0.0160 0.2427 0.0059 -1.1123 0.0112 -2.8540 0.0155 -1.0130 0.0043 -2.3680 0.0105 1.8410 0.0159 0.4860 0.0185 -1.3550 0.0110 0.00227 1.080 
2456967.20933 1.2554 0.0050 -1.6519 0.0163 0.2463 0.0059 -1.1148 0.0110 -2.9073 0.0158 -1.0091 0.0043 -2.3702 0.0102 1.8982 0.0162 0.5371 0.0186 -1.3611 0.0107 0.00227 1.079 
2456967.21082 1.2765 0.0049 -1.5873 0.0162 0.2613 0.0059 -1.1132 0.0111 -2.8638 0.0157 -1.0152 0.0043 -2.3897 0.0103 1.8486 0.0161 0.4741 0.0186 -1.3745 0.0108 0.00227 1.078 
2456967.21234 1.2699 0.0050 -1.5909 0.0161 0.2674 0.0060 -1.1229 0.0111 -2.8608 0.0155 -1.0025 0.0043 -2.3928 0.0103 1.8583 0.0159 0.4680 0.0184 -1.3903 0.0108 0.00227 1.078 
2456967.21385 1.2714 0.0049 -1.5948 0.0151 0.2664 0.0059 -1.1008 0.0110 -2.8662 0.0145 -1.0050 0.0043 -2.3722 0.0102 1.8612 0.0149 0.4940 0.0175 -1.3672 0.0107 0.00227 1.077 
2456967.21536 1.2725 0.0049 -1.5740 0.0157 0.2583 0.0059 -1.1033 0.0109 -2.8465 0.0151 -1.0142 0.0043 -2.3758 0.0101 1.8323 0.0155 0.4707 0.0180 -1.3616 0.0106 0.00227 1.077 
2456967.21689 1.2792 0.0050 -1.5989 0.0159 0.2714 0.0059 -1.0898 0.0110 -2.8781 0.0154 -1.0078 0.0043 -2.3690 0.0102 1.8703 0.0158 0.5091 0.0183 -1.3612 0.0107 0.00227 1.076 
2456967.21840 1.2864 0.0050 -1.5885 0.0160 0.2707 0.0060 -1.1191 0.0111 -2.8749 0.0154 -1.0157 0.0043 -2.4055 0.0103 1.8592 0.0158 0.4694 0.0183 -1.3898 0.0108 0.00227 1.075 
2456967.21992 1.2838 0.0050 -1.5825 0.0159 0.2642 0.0060 -1.0919 0.0111 -2.8663 0.0153 -1.0196 0.0043 -2.3757 0.0103 1.8467 0.0157 0.4906 0.0182 -1.3561 0.0108 0.00227 1.075 
2456967.22145 1.2903 0.0049 -1.5646 0.0159 0.2858 0.0058 -1.0816 0.0110 -2.8549 0.0153 -1.0045 0.0042 -2.3719 0.0102 1.8504 0.0156 0.4830 0.0182 -1.3674 0.0107 0.00227 1.074 
2456967.22300 1.2818 0.0051 -1.5831 0.0162 0.2798 0.0060 -1.1115 0.0112 -2.8649 0.0156 -1.0020 0.0043 -2.3933 0.0104 1.8629 0.0160 0.4716 0.0186 -1.3913 0.0109 0.00227 1.074 
2456967.22450 1.2856 0.0050 -1.5936 0.0160 0.2831 0.0059 -1.0814 0.0112 -2.8792 0.0154 -1.0025 0.0042 -2.3670 0.0104 1.8767 0.0157 0.5122 0.0184 -1.3645 0.0109 0.00227 1.073 
2456967.22602 1.2880 0.0051 -1.5630 0.0153 0.2878 0.0059 -1.0874 0.0113 -2.8510 0.0148 -1.0002 0.0043 -2.3754 0.0105 1.8508 0.0151 0.4756 0.0179 -1.3752 0.0109 0.00227 1.073 
2456967.22909 1.3078 0.0051 -1.5467 0.0159 0.3053 0.0060 -1.0637 0.0112 -2.8545 0.0153 -1.0025 0.0043 -2.3715 0.0104 1.8520 0.0157 0.4830 0.0183 -1.3690 0.0109 0.00227 1.072 
2456967.23060 1.2985 0.0051 -1.5620 0.0158 0.2894 0.0060 -1.0885 0.0112 -2.8605 0.0152 -1.0091 0.0043 -2.3870 0.0104 1.8514 0.0156 0.4735 0.0182 -1.3779 0.0109 0.00227 1.072 
2456967.23213 1.3176 0.0050 -1.5366 0.0154 0.3092 0.0060 -1.0659 0.0110 -2.8542 0.0148 -1.0084 0.0043 -2.3835 0.0102 1.8458 0.0152 0.4707 0.0178 -1.3751 0.0107 0.00227 1.072 
