JD V-C s1 V-C1 s2 V-C2 s3 V-C3 s4 V-C4 s5 C-C1 s6 C-C2 s7 C-C3 s8 C-C4 s9 C1-C2 s10 C1-C3 s11 C1-C4 s12 C2-C3 s13 C2-C4 s14 C3-C4 s15 HELCOR AIRMASS 
Aperture: 3, Filter: I, JD: geocentric
2456972.19072 -5.1159 0.0729 -2.7158 0.0088 99.9999 9.9999 -5.4784 0.0889 99.9999 9.9999 2.4001 0.0734 99.9999 9.9999 -0.3625 0.1150 99.9999 9.9999 99.9999 9.9999 -2.7626 0.0893 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00332 2.732 
2456972.19244 -5.3163 0.1294 -2.7398 0.0130 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.5765 0.1300 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00332 2.713 
2456972.19595 -5.1691 0.1060 -2.8447 0.0129 99.9999 9.9999 99.9999 9.9999 -5.6296 0.1499 2.3244 0.1068 99.9999 9.9999 99.9999 9.9999 -0.4605 0.1836 99.9999 9.9999 99.9999 9.9999 -2.7849 0.1504 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00332 2.674 
2456972.19711 -5.2994 0.0876 -2.9919 0.0106 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.3075 0.0882 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00332 2.661 
2456972.19826 -5.1921 0.0673 -2.6842 0.0072 -6.4389 0.1783 -5.3956 0.0717 -5.4312 0.0728 2.5079 0.0677 -1.2468 0.1906 -0.2035 0.0983 -0.2391 0.0991 -3.7547 0.1784 -2.7114 0.0721 -2.7470 0.0731 1.0433 0.1922 1.0077 0.1926 -0.0356 0.1022 0.00332 2.648 
2456972.19943 -5.2102 0.0939 -2.7870 0.0105 99.9999 9.9999 -5.3191 0.0917 -5.3680 0.0982 2.4232 0.0945 99.9999 9.9999 -0.1089 0.1312 -0.1578 0.1359 99.9999 9.9999 -2.5321 0.0923 -2.5810 0.0987 99.9999 9.9999 99.9999 9.9999 -0.0489 0.1344 0.00332 2.635 
2456972.20060 -5.1777 0.1221 -2.7858 0.0141 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 2.3919 0.1229 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00332 2.622 
2456972.20294 -5.1056 0.1088 -2.7377 0.0130 99.9999 9.9999 99.9999 9.9999 -5.4656 0.1390 2.3679 0.1096 99.9999 9.9999 99.9999 9.9999 -0.3600 0.1765 99.9999 9.9999 99.9999 9.9999 -2.7279 0.1396 99.9999 9.9999 99.9999 9.9999 99.9999 9.9999 0.00332 2.597 
2456972.20411 -5.2634 0.0506 -3.1536 0.0078 -6.2585 0.1094 -5.4137 0.0500 -5.4151 0.0484 2.1098 0.0512 -0.9951 0.1205 -0.1503 0.0711 -0.1517 0.0700 -3.1049 0.1097 -2.2601 0.0506 -2.2615 0.0490 0.8448 0.1203 0.8434 0.1196 -0.0014 0.0696 0.00332 2.584 
2456972.20528 -5.1838 0.0321 -2.7155 0.0040 -6.1398 0.0591 -5.4673 0.0343 -5.4787 0.0336 2.4683 0.0323 -0.9560 0.0673 -0.2835 0.0470 -0.2949 0.0465 -3.4243 0.0592 -2.7518 0.0345 -2.7632 0.0338 0.6725 0.0683 0.6611 0.0680 -0.0114 0.0480 0.00332 2.571 
2456972.20646 -5.1361 0.0323 -2.7149 0.0040 -6.1314 0.0619 -5.4289 0.0350 -5.3855 0.0334 2.4212 0.0325 -0.9953 0.0698 -0.2928 0.0476 -0.2494 0.0465 -3.4165 0.0620 -2.7140 0.0352 -2.6706 0.0336 0.7025 0.0711 0.7459 0.0703 0.0434 0.0484 0.00332 2.558 
2456972.20762 -5.0765 0.0284 -2.6794 0.0037 -6.0572 0.0531 -5.4105 0.0300 -5.4358 0.0321 2.3971 0.0286 -0.9807 0.0602 -0.3340 0.0413 -0.3593 0.0429 -3.3778 0.0532 -2.7311 0.0302 -2.7564 0.0323 0.6467 0.0610 0.6214 0.0620 -0.0253 0.0439 0.00332 2.546 
2456972.20877 -5.1412 0.0254 -2.6777 0.0032 -6.1552 0.0476 -5.3825 0.0247 -5.3844 0.0242 2.4635 0.0256 -1.0140 0.0540 -0.2413 0.0354 -0.2432 0.0351 -3.4775 0.0477 -2.7048 0.0249 -2.7067 0.0244 0.7727 0.0536 0.7708 0.0534 -0.0019 0.0346 0.00332 2.533 
2456972.20994 -5.0839 0.0244 -2.7550 0.0033 -6.0169 0.0410 -5.3090 0.0225 -5.2217 0.0211 2.3289 0.0246 -0.9330 0.0477 -0.2251 0.0332 -0.1378 0.0323 -3.2619 0.0411 -2.5540 0.0227 -2.4667 0.0213 0.7079 0.0468 0.7952 0.0461 0.0873 0.0308 0.00333 2.520 
2456972.21110 -5.0873 0.0318 -2.7279 0.0041 -6.2416 0.0739 -5.3328 0.0319 -5.3429 0.0320 2.3594 0.0321 -1.1543 0.0805 -0.2455 0.0450 -0.2556 0.0451 -3.5137 0.0740 -2.6049 0.0321 -2.6150 0.0322 0.9088 0.0805 0.8987 0.0805 -0.0101 0.0452 0.00333 2.508 
2456972.21226 -5.1327 0.0264 -2.6681 0.0033 -6.1215 0.0482 -5.3611 0.0256 -5.3821 0.0255 2.4646 0.0266 -0.9888 0.0550 -0.2284 0.0368 -0.2494 0.0367 -3.4534 0.0483 -2.6930 0.0258 -2.7140 0.0257 0.7604 0.0546 0.7394 0.0545 -0.0210 0.0361 0.00333 2.496 
2456972.21512 -4.8394 0.0156 -2.4404 0.0023 -5.8967 0.0276 -5.1550 0.0148 -5.1342 0.0147 2.3990 0.0158 -1.0573 0.0317 -0.3156 0.0215 -0.2948 0.0214 -3.4563 0.0277 -2.7146 0.0150 -2.6938 0.0149 0.7417 0.0313 0.7625 0.0313 0.0208 0.0209 0.00333 2.465 
2456972.21624 -5.1571 0.0337 -2.6956 0.0043 -6.1950 0.0713 -5.4278 0.0357 -5.3989 0.0351 2.4615 0.0340 -1.0379 0.0789 -0.2707 0.0491 -0.2418 0.0487 -3.4994 0.0714 -2.7322 0.0359 -2.7033 0.0354 0.7672 0.0797 0.7961 0.0795 0.0289 0.0501 0.00333 2.453 
2456972.21691 -5.1585 0.0308 -2.6574 0.0039 -6.2135 0.0660 -5.5034 0.0342 -5.3634 0.0313 2.5011 0.0310 -1.0550 0.0728 -0.3449 0.0460 -0.2049 0.0439 -3.5561 0.0661 -2.8460 0.0344 -2.7060 0.0315 0.7101 0.0743 0.8501 0.0730 0.1400 0.0464 0.00333 2.446 
