JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 7, Filter: R, JD: geocentric
2457036.20328 -3.4689 0.0094 -4.0395 0.0149 -1.2312 0.0018 -0.5706 0.0176 2.2377 0.0096 2.8083 0.0150 0.00286 1.046 
2457036.20351 -3.4554 0.0094 -4.0174 0.0153 -1.2166 0.0018 -0.5620 0.0180 2.2388 0.0096 2.8008 0.0154 0.00286 1.045 
2457036.20376 -3.4590 0.0089 -4.0293 0.0152 -1.2222 0.0017 -0.5703 0.0176 2.2368 0.0090 2.8071 0.0153 0.00286 1.045 
2457036.20399 -3.4575 0.0090 -4.0008 0.0150 -1.2254 0.0017 -0.5433 0.0175 2.2321 0.0091 2.7754 0.0151 0.00286 1.045 
2457036.20423 -3.4638 0.0091 -4.0277 0.0148 -1.2244 0.0017 -0.5639 0.0174 2.2394 0.0092 2.8033 0.0149 0.00286 1.044 
2457036.20446 -3.4480 0.0089 -4.0165 0.0152 -1.2172 0.0017 -0.5685 0.0176 2.2308 0.0090 2.7993 0.0153 0.00286 1.044 
2457036.20469 -3.4677 0.0089 -4.0184 0.0151 -1.2180 0.0017 -0.5507 0.0175 2.2497 0.0090 2.8004 0.0152 0.00286 1.044 
2457036.20494 -3.4738 0.0090 -4.0329 0.0157 -1.2059 0.0017 -0.5591 0.0181 2.2679 0.0091 2.8270 0.0158 0.00286 1.044 
2457036.20517 -3.4640 0.0090 -4.0108 0.0152 -1.2062 0.0017 -0.5468 0.0177 2.2578 0.0091 2.8046 0.0153 0.00286 1.043 
2457036.20541 -3.4397 0.0090 -4.0100 0.0153 -1.2099 0.0017 -0.5703 0.0178 2.2298 0.0091 2.8001 0.0154 0.00286 1.043 
2457036.20564 -3.4625 0.0091 -4.0162 0.0147 -1.2257 0.0017 -0.5537 0.0173 2.2368 0.0092 2.7905 0.0148 0.00286 1.043 
2457036.20589 -3.4482 0.0094 -4.0145 0.0149 -1.2059 0.0017 -0.5663 0.0176 2.2423 0.0095 2.8086 0.0150 0.00286 1.043 
2457036.20612 -3.4523 0.0091 -4.0376 0.0153 -1.2055 0.0017 -0.5853 0.0178 2.2468 0.0092 2.8321 0.0154 0.00286 1.042 
2457036.20636 -3.4589 0.0095 -4.0172 0.0157 -1.2028 0.0017 -0.5583 0.0184 2.2561 0.0096 2.8144 0.0158 0.00286 1.042 
2457036.20659 -3.4468 0.0092 -3.9861 0.0150 -1.2070 0.0017 -0.5393 0.0176 2.2398 0.0093 2.7791 0.0151 0.00286 1.042 
2457036.20682 -3.4381 0.0091 -3.9925 0.0152 -1.2059 0.0017 -0.5544 0.0177 2.2322 0.0092 2.7866 0.0153 0.00286 1.041 
2457036.20707 -3.4549 0.0090 -4.0010 0.0155 -1.2073 0.0017 -0.5461 0.0179 2.2476 0.0091 2.7937 0.0156 0.00286 1.041 
2457036.20730 -3.4576 0.0093 -4.0076 0.0151 -1.1984 0.0018 -0.5500 0.0177 2.2592 0.0095 2.8092 0.0152 0.00286 1.041 
2457036.20754 -3.4297 0.0093 -3.9999 0.0151 -1.1993 0.0017 -0.5702 0.0177 2.2304 0.0094 2.8006 0.0152 0.00286 1.041 
2457036.20777 -3.4335 0.0097 -3.9972 0.0162 -1.1939 0.0019 -0.5637 0.0189 2.2396 0.0098 2.8033 0.0163 0.00286 1.040 
2457036.20800 -3.4361 0.0104 -3.9855 0.0171 -1.2040 0.0020 -0.5494 0.0200 2.2321 0.0106 2.7815 0.0172 0.00286 1.040 
2457036.20825 -3.4310 0.0104 -4.0003 0.0175 -1.1759 0.0019 -0.5693 0.0204 2.2551 0.0105 2.8244 0.0176 0.00286 1.040 
2457036.20848 -3.4242 0.0093 -3.9887 0.0164 -1.1884 0.0019 -0.5645 0.0189 2.2358 0.0095 2.8003 0.0165 0.00286 1.040 
2457036.20871 -3.4263 0.0092 -3.9938 0.0157 -1.1872 0.0018 -0.5675 0.0182 2.2391 0.0094 2.8066 0.0158 0.00286 1.039 
2457036.20895 -3.4285 0.0096 -3.9958 0.0158 -1.1885 0.0018 -0.5673 0.0185 2.2400 0.0097 2.8073 0.0159 0.00286 1.039 
2457036.20918 -3.4246 0.0096 -3.9882 0.0159 -1.1827 0.0019 -0.5636 0.0186 2.2419 0.0097 2.8055 0.0160 0.00286 1.039 
2457036.20943 -3.4218 0.0092 -3.9859 0.0152 -1.1810 0.0017 -0.5641 0.0178 2.2408 0.0093 2.8049 0.0153 0.00286 1.039 
2457036.20966 -3.4411 0.0114 -4.0260 0.0190 -1.1561 0.0020 -0.5849 0.0222 2.2850 0.0115 2.8699 0.0191 0.00286 1.038 
2457036.20989 -3.4119 0.0117 -3.9844 0.0189 -1.1746 0.0022 -0.5725 0.0222 2.2373 0.0119 2.8098 0.0190 0.00286 1.038 
2457036.21013 -3.4066 0.0137 -3.9715 0.0229 -1.1554 0.0025 -0.5649 0.0267 2.2512 0.0139 2.8161 0.0230 0.00286 1.038 
2457036.21037 -3.4139 0.0130 -3.9882 0.0218 -1.1491 0.0025 -0.5743 0.0254 2.2648 0.0132 2.8391 0.0219 0.00286 1.038 
2457036.21060 -3.4025 0.0107 -4.0049 0.0191 -1.1947 0.0022 -0.6024 0.0219 2.2078 0.0109 2.8102 0.0192 0.00286 1.037 
2457036.21084 -3.4256 0.0110 -3.9703 0.0183 -1.1645 0.0021 -0.5447 0.0214 2.2611 0.0112 2.8058 0.0184 0.00286 1.037 
2457036.21107 -3.4032 0.0112 -3.9704 0.0188 -1.1560 0.0022 -0.5672 0.0219 2.2472 0.0114 2.8144 0.0189 0.00286 1.037 
2457036.21130 -3.4179 0.0103 -3.9698 0.0158 -1.1696 0.0019 -0.5519 0.0189 2.2483 0.0104 2.8002 0.0159 0.00286 1.037 
2457036.21154 -3.4244 0.0095 -3.9708 0.0149 -1.1717 0.0017 -0.5464 0.0177 2.2527 0.0096 2.7991 0.0150 0.00286 1.036 
2457036.21178 -3.4050 0.0092 -3.9781 0.0158 -1.1702 0.0017 -0.5731 0.0183 2.2348 0.0093 2.8079 0.0159 0.00286 1.036 
2457036.21201 -3.4350 0.0106 -3.9720 0.0174 -1.1501 0.0020 -0.5370 0.0204 2.2849 0.0108 2.8219 0.0175 0.00286 1.036 
2457036.21225 -3.3809 0.0101 -3.9605 0.0163 -1.1987 0.0020 -0.5796 0.0192 2.1822 0.0103 2.7618 0.0164 0.00286 1.036 
2457036.21249 -3.4027 0.0098 -3.9811 0.0165 -1.1635 0.0019 -0.5784 0.0192 2.2392 0.0099 2.8176 0.0166 0.00286 1.035 
2457036.21273 -3.4091 0.0094 -3.9679 0.0156 -1.1506 0.0018 -0.5588 0.0182 2.2585 0.0095 2.8173 0.0157 0.00286 1.035 
2457036.21297 -3.4006 0.0100 -3.9569 0.0158 -1.1549 0.0019 -0.5563 0.0187 2.2457 0.0101 2.8020 0.0159 0.00286 1.035 
2457036.21320 -3.4106 0.0113 -3.9549 0.0188 -1.1168 0.0020 -0.5443 0.0219 2.2938 0.0114 2.8381 0.0189 0.00286 1.035 
2457036.21343 -3.3562 0.0116 -3.9410 0.0197 -1.1710 0.0023 -0.5848 0.0229 2.1852 0.0118 2.7700 0.0198 0.00286 1.034 
2457036.21367 -3.4208 0.0109 -3.9727 0.0176 -1.1523 0.0020 -0.5519 0.0207 2.2685 0.0110 2.8204 0.0177 0.00286 1.034 
2457036.21391 -3.3945 0.0114 -3.9639 0.0188 -1.1557 0.0021 -0.5694 0.0220 2.2388 0.0116 2.8082 0.0189 0.00286 1.034 
2457036.21415 -3.3889 0.0111 -3.9366 0.0173 -1.1648 0.0022 -0.5477 0.0206 2.2241 0.0113 2.7718 0.0174 0.00286 1.034 
2457036.21438 -3.3966 0.0127 -3.9629 0.0217 -1.1397 0.0023 -0.5663 0.0251 2.2569 0.0129 2.8232 0.0218 0.00286 1.034 
2457036.21461 -3.3702 0.0129 -3.9563 0.0220 -1.1680 0.0024 -0.5861 0.0255 2.2022 0.0131 2.7883 0.0221 0.00286 1.033 
2457036.21485 -3.4039 0.0136 -3.9749 0.0230 -1.1085 0.0023 -0.5710 0.0267 2.2954 0.0138 2.8664 0.0231 0.00286 1.033 
2457036.21509 -3.3385 0.0134 -3.9538 0.0235 -1.1222 0.0025 -0.6153 0.0271 2.2163 0.0136 2.8316 0.0236 0.00286 1.033 
2457036.21532 -3.3547 0.0132 -3.9403 0.0224 -1.1718 0.0025 -0.5856 0.0260 2.1829 0.0134 2.7685 0.0225 0.00286 1.033 
2457036.21556 -3.3827 0.0125 -3.9633 0.0219 -1.1418 0.0023 -0.5806 0.0252 2.2409 0.0127 2.8215 0.0220 0.00286 1.032 
2457036.21579 -3.3898 0.0134 -3.9476 0.0232 -1.1417 0.0024 -0.5578 0.0268 2.2481 0.0136 2.8059 0.0233 0.00286 1.032 
2457036.21602 -3.3965 0.0149 -3.9277 0.0242 -1.1266 0.0026 -0.5312 0.0284 2.2699 0.0151 2.8011 0.0243 0.00286 1.032 
2457036.21627 -3.3833 0.0144 -3.9453 0.0230 -1.1253 0.0025 -0.5620 0.0271 2.2580 0.0146 2.8200 0.0231 0.00286 1.032 
2457036.21650 -3.1878 0.0123 -3.9647 0.0246 -1.1355 0.0026 -0.7769 0.0275 2.0523 0.0125 2.8292 0.0247 0.00286 1.032 
2457036.21674 -3.3927 0.0136 -3.9517 0.0236 -1.1296 0.0025 -0.5590 0.0272 2.2631 0.0138 2.8221 0.0237 0.00286 1.031 
2457036.21697 -3.3744 0.0124 -3.9387 0.0214 -1.1348 0.0023 -0.5643 0.0247 2.2396 0.0126 2.8039 0.0215 0.00286 1.031 
2457036.21721 -3.3732 0.0131 -3.9259 0.0225 -1.1201 0.0024 -0.5527 0.0260 2.2531 0.0133 2.8058 0.0226 0.00286 1.031 
2457036.21745 -3.3741 0.0140 -3.9532 0.0240 -1.1191 0.0025 -0.5791 0.0278 2.2550 0.0142 2.8341 0.0241 0.00286 1.031 
2457036.21768 -3.3652 0.0151 -3.9606 0.0266 -1.1377 0.0027 -0.5954 0.0306 2.2275 0.0153 2.8229 0.0267 0.00286 1.031 
2457036.21791 -3.3540 0.0138 -3.9325 0.0241 -1.1212 0.0025 -0.5785 0.0278 2.2328 0.0140 2.8113 0.0242 0.00286 1.030 
2457036.21815 -3.3185 0.0131 -3.9002 0.0219 -1.1367 0.0025 -0.5817 0.0255 2.1818 0.0133 2.7635 0.0220 0.00286 1.030 
2457036.21838 -3.3532 0.0115 -3.9460 0.0203 -1.1085 0.0022 -0.5928 0.0233 2.2447 0.0117 2.8375 0.0204 0.00286 1.030 
2457036.21863 -3.3529 0.0125 -3.9483 0.0208 -1.1279 0.0023 -0.5954 0.0243 2.2250 0.0127 2.8204 0.0209 0.00286 1.030 
2457036.21886 -3.3525 0.0124 -3.9333 0.0196 -1.1216 0.0023 -0.5808 0.0232 2.2309 0.0126 2.8117 0.0197 0.00286 1.029 
2457036.21909 -3.3510 0.0129 -3.9076 0.0208 -1.1429 0.0027 -0.5566 0.0245 2.2081 0.0131 2.7647 0.0209 0.00286 1.029 
2457036.21933 -3.3617 0.0131 -3.9273 0.0214 -1.1150 0.0026 -0.5656 0.0251 2.2467 0.0133 2.8123 0.0215 0.00286 1.029 
2457036.21957 -3.3421 0.0117 -3.9411 0.0201 -1.1062 0.0021 -0.5990 0.0233 2.2359 0.0119 2.8349 0.0202 0.00286 1.029 
2457036.21980 -3.3581 0.0113 -3.9386 0.0190 -1.1000 0.0022 -0.5805 0.0221 2.2581 0.0115 2.8386 0.0191 0.00286 1.029 
2457036.22004 -3.3281 0.0115 -3.9494 0.0198 -1.1030 0.0022 -0.6213 0.0229 2.2251 0.0117 2.8464 0.0199 0.00286 1.028 
