JD V-C s1 V-C1 s2 V-C2 s3 C-C1 s4 C-C2 s5 C1-C2 s6 HELCOR AIRMASS 
Aperture: 5, Filter: V, JD: geocentric
2457070.40602 -2.1990 0.0102 -1.7723 0.0072 -1.5023 0.0059 0.4267 0.0121 0.6967 0.0115 0.2700 0.0089 0.00239 1.121 
2457070.40654 -2.2054 0.0103 -1.7811 0.0073 -1.5249 0.0061 0.4243 0.0123 0.6805 0.0116 0.2562 0.0091 0.00239 1.121 
2457070.40708 -2.2099 0.0103 -1.7882 0.0074 99.9999 9.9999 0.4217 0.0124 99.9999 9.9999 99.9999 9.9999 0.00239 1.122 
2457070.40760 -2.2126 0.0099 -1.7814 0.0072 -1.5032 0.0061 0.4312 0.0119 0.7094 0.0113 0.2782 0.0090 0.00239 1.123 
2457070.40814 -2.1978 0.0099 -1.7860 0.0073 -1.5034 0.0059 0.4118 0.0120 0.6944 0.0112 0.2826 0.0090 0.00239 1.124 
2457070.40867 -2.1972 0.0100 -1.7827 0.0073 -1.5070 0.0061 0.4145 0.0121 0.6902 0.0114 0.2757 0.0092 0.00239 1.125 
2457070.40919 -2.2068 0.0100 -1.7790 0.0073 -1.5089 0.0060 0.4278 0.0120 0.6979 0.0113 0.2701 0.0090 0.00239 1.126 
2457070.40999 -2.2075 0.0100 -1.7870 0.0073 -1.5112 0.0060 0.4205 0.0120 0.6963 0.0113 0.2758 0.0090 0.00238 1.128 
2457070.41053 -2.1942 0.0103 -1.7668 0.0073 -1.4983 0.0060 0.4274 0.0123 0.6959 0.0116 0.2685 0.0090 0.00238 1.129 
2457070.41105 -2.2159 0.0104 -1.7843 0.0075 -1.5162 0.0062 0.4316 0.0125 0.6997 0.0118 0.2681 0.0094 0.00238 1.130 
2457070.41159 -2.1847 0.0100 -1.7750 0.0076 -1.4986 0.0059 0.4097 0.0122 0.6861 0.0113 0.2764 0.0092 0.00238 1.131 
2457070.41212 -2.2087 0.0103 -1.7731 0.0074 -1.4970 0.0061 0.4356 0.0123 0.7117 0.0116 0.2761 0.0092 0.00238 1.132 
