JD-2440000| Hpmag |s.e. |Tflg
8026.76780| 8.3970|0.017|  0
8026.78212| 8.4420|0.018|  0
8026.85670| 8.4321|0.021|  0
8026.87104| 8.4413|0.020|  0
8026.94561| 8.4021|0.015|  0
8026.95993| 8.4111|0.019|  0
8027.03449| 8.3879|0.011|  1
8038.50116| 8.0154|0.016|  1
8038.51549| 8.0290|0.012|  1
8038.59000| 8.0216|0.011|  1
8038.67896| 8.0845|0.016|  1
8038.76788| 8.0374|0.016|  1
8038.78217| 8.0440|0.010|  1
8038.85675| 8.0279|0.010|  1
8038.87107| 8.0201|0.009|  1
8073.78352| 7.1255|0.011|  0
8073.85812| 7.1573|0.013|  0
8073.87240| 7.1501|0.015|  0
8073.94701| 7.1442|0.013|  0
8073.96131| 7.1253|0.014|  0
8108.68771| 7.9632|0.015|  0
8108.70203| 7.9618|0.016|  0
8284.41254|11.1235|0.021|  0
8284.48711|11.2618|0.020|  0
8284.50143|11.3012|0.022|  0
8284.57598|11.2444|0.021|  0
8284.59031|11.2916|0.022|  0
8284.66488|11.1772|0.021|  0
8284.67921|11.2198|0.019|  0
8299.95049|10.7066|0.021|  0
8299.96477|10.6901|0.021|  0
8300.21711|10.7241|0.021|  0
8300.23143|10.6565|0.020|  0
8446.67560| 8.5287|0.020|  0
8446.68993| 8.5497|0.018|  0
8446.76450| 8.5522|0.019|  0
8446.77885| 8.5968|0.021|  0
8446.85340| 8.5167|0.014|  0
8446.86773| 8.4937|0.016|  0
8468.44905| 9.1000|0.020|  0
8468.46340| 9.1652|0.021|  0
8468.53795| 9.1226|0.019|  0
8468.55230| 9.1288|0.022|  0
8623.39895|10.3129|0.020|  0
8623.41324|10.3808|0.022|  0
8623.48785|10.4058|0.020|  0
8623.50214|10.3892|0.021|  0
8647.83248| 9.1696|0.021|  0
8647.84678| 9.2426|0.017|  0
8648.01024| 9.1569|0.013|  0
8648.02453| 9.1654|0.018|  0
8765.14006| 7.7122|0.015|  0
8765.15438| 7.7301|0.017|  0
8765.22897| 7.7663|0.017|  0
8765.24329| 7.7915|0.019|  0
8765.31787| 7.7788|0.017|  0
8765.33220| 7.7665|0.019|  0
8765.40675| 7.6921|0.015|  0
8765.42108| 7.7308|0.015|  0
8784.33812| 8.1522|0.014|  1
8784.35242| 8.1515|0.022|  1
8784.42699| 8.1870|0.017|  1
8784.44132| 8.2104|0.021|  1
8949.78501|10.8761|0.022|  0
8949.79935|10.9124|0.022|  0
8963.87807|10.4820|0.023|  0
8963.89241|10.4248|0.022|  0
8963.96698|10.4224|0.019|  0
8963.98129|10.4767|0.023|  0
8988.32271| 9.5749|0.015|128
8988.33706| 9.5805|0.020|128
8988.41160| 9.6388|0.019|128
8988.42592| 9.5905|0.018|128
8988.74836| 9.7060|0.021|128
8988.76268| 9.7031|0.019|128
8988.83724| 9.6498|0.023|128
8988.85158| 9.7393|0.020|128
8988.94043| 9.7710|0.020|128
9014.41789| 9.1448|0.018|  0
9014.43223| 9.1367|0.020|  0
9014.50682| 9.2040|0.023|  0
9014.52113| 9.2464|0.022|  0
9014.59568| 9.1308|0.019|  0
9014.61002| 9.2159|0.019|  0
9030.52909| 9.0241|0.021|  0
9030.54341| 9.0422|0.020|  0

